Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery,taster_name,taster_twitter_handle,title
124080,US,"This wine is a new addition to the lineup. It opens with aromas of herbs, dark chocolate, barrel spices and dark fruit followed by a fresh lively palate loaded with dark-fruit flavors, fresh acidity and fine grained tannins, with the finish lingering.",Esploso,92,60.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Andrew Will,Sean P. Sullivan,@wawinereport,Andrew Will 2013 Esploso Cabernet Sauvignon (Columbia Valley (WA))
124081,US,"Cabernet Sauvignon makes up a little over three-quarters of this blend, with Merlot, Cabernet Franc, Malbec and Petit Verdot rounding it out. The aromas start out brooding, with notes of pencil lead, black currant, flowers and green herb. The palate is focused, dense and textured, bringing an exquisite sense of balance along with a lengthy finish. Best after 2020.",Sorella Champoux Vineyard,92,83.0,Washington,Horse Heaven Hills,Columbia Valley,Bordeaux-style Red Blend,Andrew Will,Sean P. Sullivan,@wawinereport,Andrew Will 2013 Sorella Champoux Vineyard Red (Horse Heaven Hills)
124082,Chile,"Aromas of hay, baked corn and honey suggest that this wine has lost or is fast losing its vitality. The palate is round and full, with honeyed, soft flavors of apple and grass. Finishes mushy, another indication that it's on its last legs.",,83,13.0,Central Valley,,,Sauvignon Blanc,Maniña,Michael Schachner,@wineschach,Maniña 2009 Sauvignon Blanc (Central Valley)
124083,Argentina,"The clean look, nice bead and good mouthfeel are the saving graces here, because it smells strange, almost like steamed ballpark hot dogs, and it tastes odd and innocuous, like papaya juice. The look and feel are good but the smell and tastes are not so great.",Extra Brut,83,16.0,Mendoza Province,Mendoza,,Chardonnay,Medanos,Michael Schachner,@wineschach,Medanos NV Extra Brut Chardonnay (Mendoza)
124084,Argentina,"Burnt, edgy and stemmy/stalky from start to finish. The nose gives off a charred nut and asphalt character, while the palate is edgy, hard and bitter, with briary flavors of roasted fruit and stems. Questionable and compromised for the price.",,83,45.0,Mendoza Province,Mendoza,,Malbec,Puro Uno,Michael Schachner,@wineschach,Puro Uno 2008 Malbec (Mendoza)
124085,US,"Not much going on with this dry, crisp Chardonnay. It has watery flavors of citrus fruits and apricots, with a hint of oak.",,83,20.0,California,Sonoma County,Sonoma,Chardonnay,Simple Math Cellars,,,Simple Math Cellars 2008 Chardonnay (Sonoma County)
124086,Argentina,"Medicinal, soupy and not fully clicking. The nose is fishy and the palate has a grating feel and flavors of dried fruits, cola and caramel. Finishes with a toffee-like sweetness and wayward buttery flavors.",,83,14.0,Mendoza Province,Mendoza,,Malbec,Cinco Sentidos,Michael Schachner,@wineschach,Cinco Sentidos 2006 Malbec (Mendoza)
124087,US,"A mild, softly fruity wine, with unusual grace notes of sandalwood and incense. The fruit suggests cinnamon-sprinkled pears, and the acidity has been cut and softened. A little bit of a plastic, Band-Aid flavor infuses the finish.",Two Vines,83,8.0,Washington,Washington,Washington Other,Pinot Grigio,Columbia Crest,Paul Gregutt,@paulgwine ,Columbia Crest 2009 Two Vines Pinot Grigio (Washington)
124088,Italy,"This fresh and bright rosé opens with a peachy-pink color and aromas of simple fruit, raspberry and cranberry. It's tight and tonic in the mouth with a simple, clean close.",Le Dolcirive Extra Dry Rosé,83,,Veneto,Veneto,,Sparkling Blend,Costaruél,,,Costaruél NV Le Dolcirive Extra Dry Rosé Sparkling (Veneto)
124089,Chile,"Starts out solid enough, with notes of white grapefruit, passion fruit and mineral. Then it turns decidedly vegetal, with heavy flavors of asparagus, canned green beans and bell pepper. By the time it finishes you're firmly in the green zone.",Classic,83,11.0,San Antonio,,,Sauvignon Blanc,Leyda,Michael Schachner,@wineschach,Leyda 2009 Classic Sauvignon Blanc (San Antonio)
124090,US,"Here's your basic white Zin, fruity and slightly sweet, with jammy raspberry and vanilla flavors. Crisp acidity fortunately provides needed balance.",White,83,9.0,California,California,California Other,Zinfandel,Fetzer,,,Fetzer 2009 White Zinfandel (California)
124091,Italy,"This playful blend of air-dried white grapes (Prosecco and Incrocio Manzoni) offers simple aromas of honey and peach backed by some dried hay and citrus. Made with organically-grown grapes, this dessert wine is sweet and thick on the close.",Alba Chiara Passito 500ml,83,12.0,Veneto,Veneto,,White Blend,Pizzolato,,,Pizzolato NV Alba Chiara Passito 500ml White (Veneto)
124092,US,"Pinot Gris is a fast-rising grape in Washington, but most plantings are young, and prone to being a bit over-cropped. Whatever the case, this is sharp and acidic and does not have the concentration of fruit it needs. Green apples and celery flavors lead into a short, sharp finish.",,83,11.0,Washington,Columbia Valley (WA),Columbia Valley,Pinot Gris,Apex II,Paul Gregutt,@paulgwine ,Apex II 2008 Pinot Gris (Columbia Valley (WA))
124093,France,"Light and dilute, this is a pleasant wine, soft with hints of pineapple and a fresh aftertaste. Screw cap.",,83,12.0,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château d'Haurets,Roger Voss,@vossroger,Château d'Haurets 2009  Bordeaux Blanc
124094,France,"Soft, open wine, layering apricot and pear juice with some acidity that is fresh, rather than apple crisp. The wine is a little dilute and need to be drunk.",,83,11.0,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Julian,Roger Voss,@vossroger,Château Julian 2009  Bordeaux Blanc
124095,US,"A pear-flavored Pinot Gris from Yakima valley fruit. The fruit is limned with well-defined skin flavors, and the wine has a light tawny color. It starts off well, then stops short with a plastic, Band-Aid finish.",Girly Girl,83,15.0,Washington,Columbia Valley (WA),Columbia Valley,Pinot Gris,Silver Lake,Paul Gregutt,@paulgwine ,Silver Lake 2008 Girly Girl Pinot Gris (Columbia Valley (WA))
124096,Australia,"Herbal and lean, with hints of sweet charred oak and tart cherries that combine to yield a slightly confected impression on the palate. Drink now.",Yellow Label,83,13.0,South Australia,South Australia,,Cabernet Sauvignon,Wolf Blass,Joe Czerwinski,@JoeCz,Wolf Blass 2008 Yellow Label Cabernet Sauvignon (South Australia)
124097,US,"Too sweet, like pineapple, orange and lemon soda with a squeeze of vanilla. Has some nice acidity, though.",,83,26.0,California,Arroyo Seco,Central Coast,Grenache Blanc,TV Celadon,,,TV Celadon 2009 Grenache Blanc (Arroyo Seco)
124098,Argentina,"Blowsy and tropical, with aromatic flabbiness. The feel is acceptable and the flavors of papaya and dry white fruits bring some saucy, resiny qualities. Finishes with sappy, resiny oak notes and just enough Chardonnay character to not be disastrous.",Reserva,83,11.0,Mendoza Province,Mendoza,,Chardonnay,Nieto Senetiner,Michael Schachner,@wineschach,Nieto Senetiner 2009 Reserva Chardonnay (Mendoza)
124099,Argentina,"Opens with a foxy, jumpy, jammy set of aromas. The palate is also jammy and amorphous, with candied berry flavors and a drab, tangy, almost peppery finish.",,83,12.0,Mendoza Province,Mendoza,,Malbec,Notro,Michael Schachner,@wineschach,Notro 2008 Malbec (Mendoza)
124100,Argentina,"Citric smelling, with floral notes and dampness. The palate is more thin and grating than expected, with red fruit, citrus, cherry sucking candy and graham cracker flavors. Finishes a bit edgy and candied, and overall it's generic with little personality.",,83,9.0,Mendoza Province,Mendoza,,Malbec,Origin,Michael Schachner,@wineschach,Origin 2009 Malbec (Mendoza)
124101,Italy,"Nanerone opens with an inky, black color and jammy aromas of strawberry jam, dried prune, raisin, blackberry pie and some light shadings of sweet Christmas spice. It drinks like maple syrup—it's sweet, thick and heavy in the mouth.",Nanerone 500 ml,83,35.0,Tuscany,Toscana,,Aleatico,Piandibugnano,,,Piandibugnano 2006 Nanerone 500 ml Aleatico (Toscana)
124102,US,"Sweet and crisp, but one-dimensional, with chocolate-covered cherry and cassis flavors that finish hot in alcohol.",Giubbini Vineyard Estate Zinfandel,83,25.0,California,Paso Robles,Central Coast,Port,Rotta,,,Rotta 2007 Giubbini Vineyard Estate Zinfandel Port (Paso Robles)
124103,Argentina,"A bit sweaty smelling, with pinched grapefruit aromas and distant citrus. The flavors say generic apple and lime, and there's a flatness to it. It's a little sugary as well. OK for a wine with pronounced low acidity.",Vástago de Gea,83,15.0,Other,Argentina,,Sauvignon Blanc,Staphyle,Michael Schachner,@wineschach,Staphyle 2009 Vástago de Gea Sauvignon Blanc (Argentina)
124104,France,"A racy wine, juicy, fresh and fruity. The lively red fruits are totally dominant. There is structure, but it is the delicious fruit that speaks.",Beaune Grèves Vigne de l'Enfant Jésus Premier Cru,92,150.0,Burgundy,Beaune,,Pinot Noir,Bouchard Père & Fils,Roger Voss,@vossroger,Bouchard Père & Fils 2006 Beaune Grèves Vigne de l'Enfant Jésus Premier Cru  (Beaune)
124105,France,"The first mouthful reveals a wine that is just plain opulent and rich. Only on the second taste do dense tannins push their way in, a structure that is concentrated, dry and tight. The fruit flavors are also forward, strawberry juice touched with cranberry juice dryness. This could age well, give it 4–5 years.",Clos du Roi Premier Cru,92,65.0,Burgundy,Beaune,,Pinot Noir,Chanson Père et Fils,Roger Voss,@vossroger,Chanson Père et Fils 2005 Clos du Roi Premier Cru  (Beaune)
124106,France,"Solid and concentrated, this wine initially is tight, showing minerality as well as rich fruit. The dark tannins then open to reveal sweetness, ripe strawberry jelly as well as soft acidity and licorice. A big wine that will evolve over the next several years.",Epenots Premier Cru,92,95.0,Burgundy,Pommard,,Pinot Noir,Chanson Père et Fils,Roger Voss,@vossroger,Chanson Père et Fils 2005 Epenots Premier Cru  (Pommard)
124107,US,"Twenty percent of the fruit in this 2005 comes from Red Mountain grapes—though not yet from the newly planted estate vineyard. Rich, ripe, smooth and supple, this nicely styled blend is packed with good dark fruits and sweet berry jam flavors. It's supple and muscular, with well-modulated tannins, and layered flavors of earth, soy and black tea.",Red Table Wine,92,75.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Col Solare,Paul Gregutt,@paulgwine ,Col Solare 2005 Red Table Wine Red (Columbia Valley (WA))
124108,US,"This is the winery's best blend. It's been a consistently excellent wine, showing a fuller body, richer, deeper fruit and an oakier overlay than the regular Pinot Noir. The red fruits veer into blue and black fruits, even ripe blue plums and mocha. With some dusty tannins, it could develop over the next six years.",The Famous Gate,92,68.0,California,Carneros,Napa-Sonoma,Pinot Noir,Domaine Carneros,,,Domaine Carneros 2006 The Famous Gate Pinot Noir (Carneros)
124109,US,"Dramatically rich in pie filling blackberries, currants and anise, this Syrah is given complexity by the firm tannins and crisp acidity that the Highlands appellation invariably brings to red wines. It has a complexity and depth that make it irresistable. Now through 2010 for youthful freshness.",,92,33.0,California,Santa Lucia Highlands,Central Coast,Syrah,Novy,,,Novy 2006 Syrah (Santa Lucia Highlands)
124110,US,"A gorgeous wine, the best Big River that Ravenswood has ever produced. Has everything you want in a Zinfandel. It displays rich, peppery blackberry and currant fruit, splendid tannins, crisp acidity, fine dryness and a long, impressive finish. The high alcohol is not out of place.",Big River,92,35.0,California,Alexander Valley,Sonoma,Zinfandel,Ravenswood,,,Ravenswood 2006 Big River Zinfandel (Alexander Valley)
124111,US,"The Wedding Cuvée is one of Iron Horse's sweeter bubblies, but it's not a sweet wine. It's soft, creamy and delicious. Brimming with flavors of green apples, strawberries, brioche and pepper, it continues the winery's brilliant tradition of crafting some of the finest sparkling wines in California.",Wedding Cuvée,92,38.0,California,Green Valley,Sonoma,Sparkling Blend,Iron Horse,,,Iron Horse 2005 Wedding Cuvée Sparkling (Green Valley)
124112,France,"This is a wine that gives acidity and ripeness at the same time. The color is light, but there is good concentration, great aromatic character and lively red berry fruits.",,91,,Burgundy,La Grande Rue,,Pinot Noir,Domaine François Lamarche,Roger Voss,@vossroger,Domaine François Lamarche 2006  La Grande Rue
124113,France,"With smoky aromas, this starts out as an enticing wine. On the palate, the fruit is surprisingly soft for a Nuits-St-Georges, with the wine's evident structure showing an open character, edged with wood and red plum and currant flavors. The dry tannins give shape, but do not dominate this big wine.",Les Cailles Premier Cru,91,115.0,Burgundy,Nuits-St.-Georges,,Pinot Noir,Bouchard Père & Fils,Roger Voss,@vossroger,Bouchard Père & Fils 2006 Les Cailles Premier Cru  (Nuits-St.-Georges)
124114,US,"The concept here is a southern Rhône blend—47% Syrah, 17% Grenache, 19% Cinsault and 17% Mourvèdre. With the extra dollop of Syrah, it's got more substance than the usual Châteauneuf wannabes. Spicy and sharp, this benefits from the fact that the grapes all came in at once and were co-fermented, so the blend married early and well. Despite its youth, this is seamless and focused; a complete and very successful wine with berry, cherry and sweet plum fruit flavors annotated with spice and bits of chocolate. Elegant, feminine and supple, this is a lovely bottle.",Stonetree Vineyard à pic,91,32.0,Washington,Wahluke Slope,Columbia Valley,Red Blend,Bunnell,Paul Gregutt,@paulgwine ,Bunnell 2006 Stonetree Vineyard à pic Red (Wahluke Slope)
124115,US,"The wine is tight, sharp, aromatic, tart and juicy, with dry tannins that take over quickly. Though quite acidic for this vineyard, it displays classic Champoux fruit flavors of Bing cherry, blueberry and cassis. It's drinking beautifully, smooth and supple, finishing with a balanced mix of mocha and coconut.",Champoux Vineyard,91,50.0,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Januik,Paul Gregutt,@paulgwine ,Januik 2005 Champoux Vineyard Cabernet Sauvignon (Horse Heaven Hills)
124116,US,"From Heidi Barrett's estate vineyard in Calistoga, this Syrah is very rich and appealing. What it lacks in complex subtlety it makes up for in immediate chocolate-inspired blackberry jam and mushu plum flavors. Firmly tannic, it might age for a while, but will show best now through 2012.",Barrett Vineyard,91,80.0,California,Napa Valley,Napa,Syrah,La Sirena,,,La Sirena 2004 Barrett Vineyard Syrah (Napa Valley)
124117,France,"Big, tannic and foursquare, this is archetypal Pommard. The dark plum and black fig flavors and the rich tannins all contribute to a wine that is solid, concentrated, dense and needs at least four years' aging.",Grands Epenots Premier Cru,91,85.0,Burgundy,Pommard,,Pinot Noir,Maison Champy,Roger Voss,@vossroger,Maison Champy 2006 Grands Epenots Premier Cru  (Pommard)
124118,US,"A blend of three new Syrah clones that were fermented separately, then blended into a satisfying, though still young and somewhat jagged wine that will benefit from more bottle age. It comes out toasty and gamy, with undertones of cured meat, stiff tannins and moist earth. The classic Boushey vineyard flavors of herb, green tea and cured meats are here in abundance.",Boushey Vineyard,91,32.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Ross Andrew,Paul Gregutt,@paulgwine ,Ross Andrew 2006 Boushey Vineyard Syrah (Columbia Valley (WA))
124119,US,"This is a beautiful brut, easily worth its price. It shows the fancy elegance of more expensive bubblies, with its refined texture and rich but subtle flavors of strawberries, peaches and brioche. Made from Pinot Noir and Chardonnay, and easy to find, with 25,000 cases produced.",Brut,91,20.0,California,Mendocino County,,Sparkling Blend,Scharffenberger,,,Scharffenberger NV Brut Sparkling (Mendocino County)
124120,US,"A complete and expressive wine, with vibrant berry/cherry fruit, supple textures and a gentle hand with the oak. The tannins have been well managed and mediated; the wine is tannic but smooth with no roughness or excessively green flavors. It captures just a hint of pepper and herb, and is streaked with coffee highlights through the finish.",Klipsun Vineyard,91,40.0,Washington,Red Mountain,Columbia Valley,Merlot,Januik,Paul Gregutt,@paulgwine ,Januik 2005 Klipsun Vineyard Merlot (Red Mountain)
124121,France,"Raspberries with hints of cranberry dominate this juicy but structured wine. This is a wine that shows a very elegant style, certainly not forceful, but deliciously direct.",Clos de la Barre Premier Cru,91,59.0,Burgundy,Volnay,,Pinot Noir,Louis Jadot,Roger Voss,@vossroger,Louis Jadot 2006 Clos de la Barre Premier Cru  (Volnay)
124122,France,"An intensely perfumed, almost exotic wine. The fruit is ripe, rich, packed with black cherries, spice and concentration. It is big on structure, a powerhouse of a wine, surprisingly dense for 2006.",,91,,Burgundy,Echézeaux,,Pinot Noir,Domaine d'Eugenie,Roger Voss,@vossroger,Domaine d'Eugenie 2006  Echézeaux
124123,Argentina,"A new wine from Norton named after the winery's Austrian owner, Gernot Langes, is a serious Bordeaux-style blend with creamy oak, vanilla, chocolate and espresso on the bouquet. It's deep, dark and full of cassis and berry flavors. All totaled, this is a prized offering that's textured and ripe. It has the right feel and the right stuff in general.",Gernot Langes,91,110.0,Mendoza Province,Luján de Cuyo,,Bordeaux-style Red Blend,Bodega Norton,Michael Schachner,@wineschach,Bodega Norton 2003 Gernot Langes Red (Luján de Cuyo)
124124,Argentina,"A little scattered and jumbled at first, but once things settle this Bordeaux blend is impressive. Scents of clove, blackberry and grape candy are sincere, while the palate houses blueberry, cassis and other black-fruit flavors. The feel is tannic and a bit choppy, but the ribald finish of bacon, leather, vanilla and resin is convincing. Drink now through 2011.",Perdriel Single Vineyard,91,68.0,Mendoza Province,Mendoza,,Bordeaux-style Red Blend,Bodega Norton,Michael Schachner,@wineschach,Bodega Norton 2005 Perdriel Single Vineyard Red (Mendoza)
124125,France,"Power from black fruits and dense tannins, create very intense wine. The fruits are sweet, the color big and dark. But in the end, it works, with an elegance showing through the richness.",,91,,Burgundy,Grands-Echezeaux,,Pinot Noir,Domaine d'Eugenie,Roger Voss,@vossroger,Domaine d'Eugenie 2006  Grands-Echezeaux
124126,US,"More new oak shows here; it's packed with butterscotch and toasted, caramel-coated, apple-flavored fruit. It's tighter, spicier and oakier than the Elerding Vineyard Chardonnay from Januik, though at the moment it seems less complex in the finish.",Cold Creek Vineyard,91,30.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Januik,Paul Gregutt,@paulgwine ,Januik 2006 Cold Creek Vineyard Chardonnay (Columbia Valley (WA))
124127,US,"This has the sharp, spicy excellence of the best Washington Syrahs; it's got precision, depth and texture. The fruit flavors are compact, buttressed with earthy flavors that include iron and mineral and herb. There is a leafy edge to the tannins suggestive of tobacco. It's a complex and fascinating wine that should age well.",Lewis Vineyard,91,30.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Januik,Paul Gregutt,@paulgwine ,Januik 2005 Lewis Vineyard Syrah (Columbia Valley (WA))
124128,US,"Young, tart and racy, Lemelson's Stermer single-vineyard selection shows a pleasing mix of red fruits, set in sharp acids that crisply define the core flavors. Clean and focused, with a tight but persistent finish that leaves the impression of fresh, bracing cranberries.",Stermer Vineyard,90,42.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Lemelson,Paul Gregutt,@paulgwine ,Lemelson 2009 Stermer Vineyard Pinot Noir (Willamette Valley)
124129,US,"A nice Cabernet, on par with the winery's equally fine 2008. Shows plenty of class, with rich blackberry, currant and cedar flavors. Earns points for sheer elegance. Ready to drink now.",,90,35.0,California,Napa Valley,Napa,Cabernet Sauvignon,Louis M. Martini,,,Louis M. Martini 2009 Cabernet Sauvignon (Napa Valley)
124130,US,"Here's a lush, fruity Cabernet, brimming with blackberry, black currant and flashy oak flavors. It straddles that line between a tannic young wine you can drink now after decanting, and one to age. Probably best opened by 2015.",Cañon Creek Vineyard,90,44.0,California,Napa Valley,Napa,Cabernet Sauvignon,Midsummer Cellars,,,Midsummer Cellars 2009 Cañon Creek Vineyard Cabernet Sauvignon (Napa Valley)
124131,Portugal,"Made from Pinot Noir, this is a sophisticated and soft wine, its acidity cutting through the richness. There are lemon and green apple flavors followed by a red fruit aftertaste. A delicious, high quality sparkling wine.",Bruto,90,,Távora-Varosa,,,Pinot Noir,Murganheira,Roger Voss,@vossroger,Murganheira 2004 Bruto Pinot Noir (Távora-Varosa)
124132,Portugal,"A new venture from Dirk Niepoort, who has chosen the crisp and fresh Loureiro grape as the base for this tantalizingly refreshing wine. It is dry, dancing lightly on the palate with a lively citrus and grapefruit character.",Dócil,90,20.0,Vinho Verde,,,Portuguese White,Niepoort,Roger Voss,@vossroger,Niepoort 2010 Dócil White (Vinho Verde)
124133,US,"If you're used to soft, ripe Napa Valley Cabernet, this one, grown just over the Lake County border, will strike you as dry and unyielding. The tannins are pronounced, giving it a hard bite. But it's rich and deep in crème de cassis, the sort of wine that seems ageworthy. Take a gamble and put it in your cellar for 6–8 years.",Obsidian Ridge Vineyard,90,28.0,California,Red Hills Lake County,,Cabernet Sauvignon,Obsidian Ridge,,,Obsidian Ridge 2009 Obsidian Ridge Vineyard Cabernet Sauvignon (Red Hills Lake County)
124134,France,"An impressively structured blend of Tannat and Cabernet Franc, this wine boasts a concentrated structure, with dense tannins to go with the flavors of black plum skin and black currant. Age for 3–4 years.",Château de Crouseilles,90,25.0,Southwest France,Madiran,,Tannat-Cabernet Franc,Producteurs Plaimont,Roger Voss,@vossroger,Producteurs Plaimont 2008 Château de Crouseilles Tannat-Cabernet Franc (Madiran)
124135,France,"Darkly tannic, Tannat-dominated wine. The structure is formidable, its rich fruit layered with the dry spice, fruit cake flavor and a powerful texture. Think of this wine with a stew, but also age for a few years.",Cuvée 1907,90,16.0,Southwest France,Madiran,,Tannat,Producteurs Plaimont,Roger Voss,@vossroger,Producteurs Plaimont 2009 Cuvée 1907 Tannat (Madiran)
124136,Germany,"Starts off with promising aromas of struck flint, lime and passion fruit, then delivers flavors that are sweet and succulent. The ripe tropical fruit notes seem to lack the intense acids of some 2010 wines, making this a lush, easygoing wine to drink over the next few years.",Josephshöfer Spätlese,90,55.0,Mosel,,,Riesling,Reichsgraf von Kesselstatt,Joe Czerwinski,@JoeCz,Reichsgraf von Kesselstatt 2010 Josephshöfer Spätlese Riesling (Mosel)
124137,US,"Very ripe, rich and fruity, showing powerful blackberry, cassis and cedar flavors. The structure is classic Napa, with firm, dynamic tannins and a fine application of acidity. Feels just great in the mouth, if on the young side. Give this wine three or four years in the cellar.",Felicity,90,55.0,California,Napa Valley,Napa,Cabernet Sauvignon,Sodaro,,,Sodaro 2008 Felicity Cabernet Sauvignon (Napa Valley)
124138,Portugal,"It's a ripe wood-aged wine, showing a full body, dark plum flavors and generous tannins. It is maturing well, giving plenty of ripe fruits along with spice and a solid tannic aftertaste.",Tinto,90,35.0,Alentejano,,,Portuguese Red,Altas Quintas,Roger Voss,@vossroger,Altas Quintas 2007 Tinto Red (Alentejano)
124139,US,"This elegant, Burgundian wine carries nuanced flavors of cranberry, crabapple, raspberry and beet root. Tart and acidic, with nicely-balanced tannins, it neither masks nor apologizes for its herbal aspect. Excellent length and structure overall.",Nicholas Estate,90,32.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Anam Cara,Paul Gregutt,@paulgwine ,Anam Cara 2009 Nicholas Estate Pinot Noir (Chehalem Mountains)
124140,Italy,"A generous and lush blend of Sangiovese, Sagrantino and Merlot, this ruby red wine shows a soft, approachable side to Montefalco wines, which are usually known for hard tannins. You could pair this expression with pasta or grilled beef, thanks to its forthcoming aromas of black fruit, spice and dark chocolate.",Riserva,90,45.0,Central Italy,Montefalco Rosso,,Red Blend,Arnaldo Caprai,,,Arnaldo Caprai 2006 Riserva  (Montefalco Rosso)
124141,US,"Very rich and opulent. You can taste how the grapes had a long season to grow enormously ripe, delivering flavors of pineapples, pears and golden mangoes. Yet the cool vintage also preserved vital acidity. A delightful young Chardonnay for drinking now with upscale fare.",,90,19.0,California,Carneros,Napa-Sonoma,Chardonnay,Buena Vista,,,Buena Vista 2009 Chardonnay (Carneros)
124142,US,"This elegant and detailed Pinot Gris offers fresh floral accents around spicy, toasty, well-mixed fruit. Pear and orange fruit flavors carry just a slight hint of honey, and the concentrated finish extends into a long, clean fade-out.",Estate,90,17.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Gris,Carabella,Paul Gregutt,@paulgwine ,Carabella 2010 Estate Pinot Gris (Chehalem Mountains)
124143,US,"A little reticent on the nose, but opens up generously in the mouth. It's off-dry (3% residual sugar), with a flavorful, round mix of citrus, tangerine and nectarine fruits. Full-bodied and lingering, it sails into a clean, tangy finish.",,90,10.0,Idaho,Idaho,,Riesling,Colter's Creek,Paul Gregutt,@paulgwine ,Colter's Creek 2010 Riesling (Idaho)
